"id"	"addtoname"	"name"	"subscript"	"superscript"	"status"	"%"
"26220"	""	"affaire"	""	""	"2"	"100"
"26221"	""	"affection"	""	""	"2"	"100"
"26222"	""	"affiche"	""	""	"2"	"100"
"26223"	""	"afficher"	""	""	"2"	"100"
"26224"	""	"affirmer"	""	""	"2"	"100"
"26225"	""	"affoler"	""	""	"2"	"100"
"26226"	""	"affreux"	""	""	"2"	"100"
"26227"	""	"affront"	""	""	"2"	"100"
"26228"	""	"affronter"	""	""	"2"	"100"
"26229"	""	"agacer"	""	""	"2"	"100"
"26230"	""	"âge"	""	""	"2"	"100"
"26231"	""	"âgé"	""	""	"2"	"100"
"26232"	""	"agent"	""	""	"2"	"100"
"26233"	""	"aggraver"	""	""	"2"	"100"
"26234"	""	"agile"	""	""	"2"	"100"
"26235"	""	"agir"	""	""	"2"	"100"
"26236"	""	"agiter"	""	""	"2"	"100"
"26237"	""	"agneau"	""	""	"2"	"100"
"26238"	""	"agréable"	""	""	"2"	"100"
"26239"	""	"agresser"	""	""	"2"	"100"
"26240"	""	"agriculture"	""	""	"2"	"100"
"26241"	""	"Ah !"	""	""	"2"	"100"
"26242"	""	"aide"	"N, fém"	""	"2"	"100"
"26243"	""	"aider"	""	""	"2"	"100"
"26244"	""	"aigu"	""	""	"2"	"100"
"26245"	""	"aiguille"	""	""	"2"	"100"
"26246"	""	"ail"	""	""	"2"	"100"
"26247"	""	"aile"	""	""	"2"	"100"
"26248"	""	"ailleurs"	""	""	"1"	"100"
"26249"	""	"aimable"	""	""	"2"	"100"
"26250"	""	"aimer"	""	""	"2"	"100"
"26251"	""	"aîné"	"Adj"	""	"2"	"100"
"26252"	""	"ainsi"	""	""	"2"	"100"
"26253"	""	"air"	""	"1"	"2"	"100"
"26254"	""	"aire"	""	""	"2"	"100"
"26255"	""	"aisance"	""	""	"2"	"100"
"26256"	""	"ajouter"	""	""	"2"	"100"
"26257"	""	"ajuster"	""	""	"2"	"100"
"26258"	""	"alarme"	""	""	"2"	"100"
"26259"	""	"album"	""	""	"2"	"100"
"26260"	""	"alcool"	""	""	"1"	"100"
"26261"	""	"alcoolique"	"N, masc"	""	"2"	"100"
"26262"	""	"alerte"	""	""	"2"	"100"
"26263"	""	"alerter"	""	""	"2"	"100"
"26264"	""	"algue"	""	""	"2"	"100"
"26265"	""	"aliment"	""	""	"2"	"100"
"26266"	""	"alimentation"	""	""	"2"	"100"
"26267"	""	"allée"	""	""	"2"	"100"
"26268"	""	"allemand"	"N"	""	"2"	"100"
"26269"	""	"aller"	"N"	""	"2"	"100"
"26270"	""	"aller"	"V"	""	"2"	"100"
"26271"	""	"allergie"	""	""	"2"	"100"
"26272"	""	"Allô !"	""	""	"2"	"100"
"26273"	"s’"	"allonger"	""	"1"	"2"	"100"
"26274"	""	"allumer"	""	""	"2"	"100"
"26275"	""	"allumette"	""	""	"2"	"100"
"26276"	""	"allusion"	""	""	"2"	"100"
"26277"	""	"alors"	""	""	"2"	"100"
"26278"	""	"alphabet"	""	""	"2"	"100"
"26279"	""	"alternative"	""	""	"2"	"100"
"26280"	""	"altitude"	""	""	"2"	"100"
"26281"	""	"amande"	""	""	"2"	"100"
"26282"	""	"amateur"	"N"	""	"2"	"100"
"26283"	""	"ambiance"	""	""	"2"	"100"
"26284"	""	"ambigu"	""	""	"2"	"100"
"26285"	""	"ambition"	""	""	"3"	"100"
"26286"	""	"ambulance"	""	""	"2"	"100"
"26287"	""	"âme"	""	""	"2"	"100"
"26288"	""	"améliorer"	""	""	"2"	"100"
"26289"	""	"amener"	""	""	"2"	"100"
"26290"	""	"amer"	""	""	"2"	"100"
"26291"	""	"américain"	"Adj"	""	"2"	"100"
"26292"	""	"amertume"	""	""	"2"	"100"
"26293"	""	"ami"	"N"	""	"1"	"100"
"26294"	""	"amour"	""	""	"2"	"100"
"26295"	""	"amoureux"	"Adj"	""	"2"	"100"
"26296"	""	"ampoule"	""	""	"2"	"100"
"26297"	""	"amuser"	""	""	"2"	"100"
"26298"	""	"an"	""	""	"2"	"100"
"26299"	""	"analogie"	""	""	"2"	"100"
"26300"	""	"analyser"	""	""	"2"	"100"
"26301"	""	"ananas"	""	""	"2"	"100"
"26302"	""	"anarchie"	""	""	"2"	"100"
"26303"	""	"ancien"	"Adj"	""	"2"	"100"
"26304"	""	"âne"	""	""	"2"	"100"
"26305"	""	"ange"	""	""	"2"	"100"
"26306"	""	"anglais"	"N"	""	"2"	"100"
"26307"	""	"angle"	""	""	"2"	"100"
"26308"	""	"angoisse"	""	""	"2"	"100"
"26309"	""	"animal"	"N"	""	"2"	"100"
"26310"	""	"animer"	""	""	"2"	"100"
"26311"	""	"année"	""	""	"2"	"100"
"26312"	""	"anniversaire"	""	""	"2"	"100"
"26313"	""	"annoncer"	""	""	"2"	"100"
"26314"	""	"annuler"	""	""	"2"	"100"
"26315"	""	"anomalie"	""	""	"2"	"100"
"26316"	""	"anonyme"	"Adj"	""	"2"	"100"
"26317"	""	"anormal"	"Adj"	""	"2"	"100"
"26318"	""	"antenne"	""	""	"1"	"100"
"26319"	""	"anxiété"	""	""	"2"	"100"
"26320"	""	"août"	""	""	"2"	"100"
"26321"	""	"apaiser"	""	""	"2"	"100"
"26322"	""	"apercevoir"	""	""	"2"	"100"
"26323"	""	"apéritif"	"N"	""	"2"	"100"
"26324"	""	"aplatir"	""	""	"2"	"100"
"26325"	""	"apparaître"	""	""	"2"	"100"
"26326"	""	"appareil"	""	""	"2"	"100"
"26327"	""	"apparence"	""	""	"2"	"100"
"26328"	""	"apparent"	""	""	"2"	"100"
"26329"	""	"appartement"	""	""	"2"	"100"
"26330"	""	"appartenir"	""	""	"2"	"100"
"26331"	""	"appauvrir"	""	""	"2"	"100"
"26332"	""	"appeler"	""	""	"2"	"100"
"26333"	""	"appétit"	""	""	"2"	"100"
"26334"	""	"applaudir"	""	""	"2"	"100"
"26335"	""	"appliquer"	""	""	"2"	"100"
"26336"	""	"apporter"	""	""	"2"	"100"
"26337"	""	"apprécier"	""	""	"2"	"100"
"26338"	""	"apprendre"	""	""	"2"	"100"
"26339"	""	"approcher"	""	""	"2"	"100"
"26340"	""	"approuver"	""	""	"2"	"100"
"26341"	""	"approvisionner"	""	""	"2"	"100"
"26342"	""	"appuyer"	""	""	"2"	"100"
"26343"	""	"après"	"Prép"	""	"2"	"100"
"26344"	""	"après-demain"	""	""	"2"	"100"
"26345"	""	"après-midi"	""	""	"2"	"100"
"26346"	""	"arabe"	"Adj"	""	"2"	"100"
"26347"	""	"araignée"	""	""	"2"	"100"
"26348"	""	"arbitre"	"N, masc"	""	"2"	"100"
"26349"	""	"arbre"	""	""	"2"	"100"
"26350"	""	"argent"	""	""	"2"	"100"
"26351"	""	"arme"	""	""	"2"	"100"
"26352"	""	"armée"	""	""	"2"	"100"
"26353"	""	"armer"	""	""	"2"	"100"
"26354"	""	"armoire"	""	""	"1"	"100"
"26355"	""	"arracher"	""	""	"2"	"100"
"26356"	""	"arranger"	""	""	"2"	"100"
"26357"	""	"arrêter"	""	""	"2"	"100"
"26358"	""	"arrière"	"N, masc"	""	"2"	"100"
"26359"	""	"arriver"	""	""	"2"	"100"
"26360"	""	"art"	""	""	"2"	"100"
"26361"	""	"article"	""	""	"2"	"100"
"26362"	""	"artificiel"	""	""	"2"	"100"
"26363"	""	"ascenseur"	""	""	"2"	"100"
"26364"	""	"asiatique"	"Adj"	""	"2"	"100"
"26365"	""	"aspect"	""	""	"2"	"100"
"26366"	""	"aspirateur"	"N"	""	"1"	"100"
"26367"	""	"aspirer"	""	"1"	"2"	"100"
"26368"	""	"assassiner"	""	""	"2"	"100"
"26369"	"s’"	"asseoir"	""	""	"2"	"100"
"26370"	""	"assez"	""	""	"2"	"100"
"26371"	""	"assiette"	""	"1"	"2"	"100"
"26372"	""	"assis"	""	""	"2"	"100"
"26373"	""	"assister"	""	""	"2"	"100"
"26374"	""	"associer"	""	""	"2"	"100"
"26375"	""	"assurer"	""	""	"2"	"100"
"26376"	""	"astuce"	""	""	"2"	"100"
"26377"	""	"atelier"	""	""	"2"	"100"
"26378"	""	"atroce"	""	""	"2"	"100"
"26379"	""	"attacher"	""	""	"2"	"100"
"26380"	""	"attaquer"	""	""	"2"	"100"
"26381"	""	"atteindre"	""	""	"2"	"100"
"26382"	""	"attendre"	""	""	"2"	"100"
"26383"	""	"attendrir"	""	""	"2"	"100"
"26384"	""	"attendrissement"	""	""	"2"	"100"
"26385"	""	"attentat"	""	""	"2"	"100"
"26386"	""	"attention"	""	""	"2"	"100"
"26387"	""	"atterrir"	""	""	"2"	"100"
"26388"	""	"attirer"	""	""	"2"	"100"
"26389"	""	"attitude"	""	""	"2"	"100"
"26390"	""	"attrait"	""	""	"2"	"100"
"26391"	""	"attraper"	""	""	"2"	"100"
"26392"	""	"au revoir"	""	""	"2"	"100"
"26393"	""	"aucun"	"Pro"	""	"2"	"100"
"26395"	""	"audition"	""	""	"2"	"100"
"26396"	""	"augmenter"	""	""	"2"	"100"
"26397"	""	"aujourd’hui"	""	""	"2"	"100"
"26398"	""	"auparavant"	""	""	"2"	"100"
"26399"	""	"auquel"	""	""	"2"	"100"
"26400"	""	"aussi"	""	""	"2"	"100"
"26401"	""	"aussitôt"	""	""	"2"	"100"
"26402"	""	"autant"	""	""	"2"	"100"
"26403"	""	"auteur"	""	""	"2"	"100"
"26404"	""	"authentique"	""	""	"2"	"100"
"26405"	""	"auto"	""	""	"1"	"100"
"26406"	""	"autobus"	""	""	"1"	"100"
"26407"	""	"autocar"	""	""	"1"	"100"
"26408"	""	"automatique"	"Adj"	""	"2"	"100"
"26409"	""	"automne"	""	""	"2"	"100"
"26410"	""	"automobile"	"N"	""	"2"	"100"
"26411"	""	"autonomie"	""	""	"2"	"100"
"26412"	""	"autoriser"	""	""	"2"	"100"
"26413"	""	"autorité"	""	""	"2"	"100"
"26414"	""	"autoroute"	""	""	"1"	"100"
"26415"	""	"autour"	""	""	"2"	"100"
"26416"	""	"autre"	"Adj"	""	"2"	"100"
"26417"	""	"autrefois"	""	""	"2"	"100"
"26418"	""	"autrement"	""	""	"2"	"100"
"26419"	""	"avaler"	""	""	"2"	"100"
"26420"	""	"avancer"	""	""	"2"	"100"
"26421"	""	"avant"	"N"	""	"2"	"100"
"26422"	""	"avantage"	""	""	"2"	"100"
"26423"	""	"avantager"	""	""	"2"	"100"
"26424"	""	"avant-hier"	""	""	"2"	"100"
"26425"	""	"avec"	""	""	"1"	"100"
"26426"	""	"avenir"	""	""	"2"	"100"
"26427"	""	"aventure"	""	""	"2"	"100"
"26428"	""	"avenue"	""	""	"2"	"100"
"26429"	""	"averse"	""	""	"2"	"100"
"26430"	""	"avertir"	""	""	"2"	"100"
"26431"	""	"aveugle"	"Adj"	""	"2"	"100"
"26432"	""	"aviation"	""	""	"2"	"100"
"26433"	""	"avion"	""	""	"1"	"100"
"26434"	""	"avis"	""	""	"2"	"100"
"26435"	""	"avocat"	""	"1"	"2"	"100"
"26436"	""	"avoir"	"V"	""	"1"	"100"
"26437"	""	"avorter"	""	""	"2"	"100"
"26438"	""	"avouer"	""	""	"3"	"100"
"26439"	""	"avril"	""	""	"2"	"100"
"26440"	""	"bactérie"	""	""	"2"	"100"
"26441"	""	"bagage"	""	""	"2"	"100"
"26442"	""	"bagarre"	""	""	"2"	"100"
"26443"	""	"bague"	""	""	"2"	"100"
"26444"	""	"baguette"	""	""	"2"	"100"
"26445"	"se "	"baigner"	""	""	"2"	"100"
"26446"	""	"baignoire"	""	""	"2"	"100"
"26447"	""	"bâiller"	""	""	"2"	"100"
"26448"	""	"bain"	""	""	"2"	"100"
"26449"	""	"baiser"	"N"	""	"2"	"100"
"26450"	""	"baisser"	""	""	"2"	"100"
"26451"	""	"bal"	""	""	"2"	"100"
"26452"	""	"balade"	""	""	"2"	"100"
"26453"	""	"balai"	""	"1"	"2"	"100"
"26454"	""	"balayer"	""	""	"2"	"100"
"26455"	""	"baleine"	""	""	"2"	"100"
"26456"	""	"ballon"	""	""	"2"	"100"
"26457"	""	"banal"	""	""	"2"	"100"
"26458"	""	"banane"	""	""	"2"	"100"
"26459"	""	"banc"	""	"1"	"2"	"100"
"26460"	""	"bande"	""	"1"	"2"	"100"
"26461"	""	"bandit"	""	""	"1"	"100"
"26462"	""	"banlieue"	""	""	"2"	"100"
"26463"	""	"banque"	""	""	"2"	"100"
"26464"	""	"bar"	""	"1"	"2"	"100"
"26465"	""	"barbe"	""	""	"2"	"100"
"26466"	""	"barre"	""	""	"2"	"100"
"26467"	""	"barrière"	""	""	"2"	"100"
"26468"	""	"bas"	"Adj"	""	"2"	"100"
"26469"	""	"bas"	"Adv"	""	"2"	"100"
"26470"	""	"bas"	"N"	""	"2"	"100"
"26471"	""	"base"	""	"1"	"2"	"100"
"26472"	""	"basé"	""	""	"2"	"100"
"26473"	""	"basket"	"N, masc"	""	"1"	"100"
"26474"	""	"bataille"	""	""	"2"	"100"
"26475"	""	"bateau"	"N"	"1"	"1"	"100"
"26476"	""	"bâtiment"	""	""	"2"	"100"
"26477"	""	"bâton"	""	""	"2"	"100"
"26478"	""	"battre"	""	""	"2"	"100"
"26479"	""	"bavard"	"Adj"	""	"2"	"100"
"26480"	""	"bavarder"	""	""	"2"	"100"
"26481"	""	"beau"	"Adj"	""	"2"	"100"
"26482"	""	"beaucoup"	""	""	"2"	"100"
"26483"	""	"beauté"	""	""	"2"	"100"
"26484"	""	"bébé"	""	""	"2"	"100"
"26485"	""	"bec"	""	""	"2"	"100"
"26486"	""	"belge"	"Adj"	""	"2"	"100"
"26487"	""	"bénévole"	"Adj"	""	"2"	"100"
"26488"	""	"besoin"	""	""	"2"	"100"
"26489"	""	"bête"	"Adj"	""	"2"	"100"
"26490"	""	"bête"	"N"	""	"2"	"100"
"26491"	""	"bêtise"	""	""	"2"	"100"
"26492"	""	"béton"	""	""	"2"	"100"
"26493"	""	"beurre"	""	""	"2"	"100"
"26494"	""	"bicyclette"	""	""	"2"	"100"
"26495"	""	"bien"	"Adv"	""	"2"	"100"
"26496"	""	"bien"	"N"	""	"2"	"100"
"26497"	""	"bien que"	""	""	"2"	"100"
"26498"	""	"bien sûr"	""	""	"2"	"100"
"26499"	""	"bientôt"	""	""	"2"	"100"
"26500"	""	"bière"	""	"1"	"2"	"100"
"26501"	""	"bifteck"	""	""	"2"	"100"
"26502"	""	"bijou"	""	""	"2"	"100"
"26503"	""	"billet"	""	""	"2"	"100"
"26504"	""	"biscuit"	""	"1"	"2"	"100"
"26505"	""	"bise"	""	"1"	"2"	"100"
"26506"	""	"bizarre"	""	""	"2"	"100"
"26507"	""	"blague"	""	"1"	"2"	"100"
"26508"	""	"blanc"	""	""	"2"	"100"
"26509"	""	"blancheur"	""	""	"2"	"100"
"26510"	""	"blé"	""	""	"2"	"100"
"26511"	""	"blesser"	""	""	"2"	"100"
"26512"	""	"bleu"	""	""	"2"	"100"
"26513"	""	"bloc"	""	""	"2"	"100"
"26514"	""	"blond"	""	""	"2"	"100"
"26515"	""	"bloquer"	""	""	"2"	"100"
"26516"	""	"bocal"	""	""	"2"	"100"
"26517"	""	"bœuf"	""	""	"2"	"100"
"26518"	""	"boire"	"V"	""	"2"	"100"
"26519"	""	"bois"	""	""	"2"	"100"
"26520"	""	"boisson"	""	""	"2"	"100"
"26521"	""	"boîte"	""	""	"2"	"100"
"26522"	""	"bol"	""	"1"	"2"	"100"
"26523"	""	"bombarder"	""	""	"2"	"100"
"26524"	""	"bombe"	""	""	"2"	"100"
"26525"	""	"bon"	"Adj"	""	"1"	"100"
"26526"	""	"Bon appétit !"	""	""	"2"	"100"
"26527"	""	"bonbon"	""	""	"2"	"100"
"26528"	""	"bonheur"	""	""	"2"	"100"
"26529"	""	"bonhomme"	""	""	"2"	"100"
"26530"	""	"bonjour"	""	""	"2"	"100"
"26531"	""	"bonnet"	""	""	"1"	"100"
"26532"	""	"bonsoir"	""	""	"2"	"100"
"26533"	""	"bonté"	""	""	"2"	"100"
"26534"	""	"bord"	""	""	"2"	"100"
"26535"	""	"bosse"	""	""	"2"	"100"
"26536"	""	"botte"	""	"1"	"2"	"100"
"26537"	""	"bouche"	""	""	"2"	"100"
"26538"	""	"bouchée"	""	""	"2"	"100"
"26539"	""	"boucher"	"N"	""	"1"	"100"
"26540"	""	"boucher"	"V"	""	"2"	"100"
"26541"	""	"bouchon"	""	"1"	"2"	"100"
"26542"	""	"boucle"	""	""	"2"	"100"
"26543"	""	"boue"	""	""	"2"	"100"
"26544"	""	"bouger"	""	""	"2"	"100"
"26545"	""	"bougie"	""	""	"2"	"100"
"26546"	""	"bouillir"	""	""	"2"	"100"
"26547"	""	"boulanger"	"N"	""	"2"	"100"
"26548"	""	"boulangerie"	""	""	"2"	"100"
"26549"	""	"boule"	""	""	"2"	"100"
"26550"	""	"boulevard"	""	""	"2"	"100"
"26551"	""	"bouleverser"	""	""	"2"	"100"
"26552"	""	"bouquet"	""	""	"2"	"100"
"26553"	""	"bousculer"	""	""	"2"	"100"
"26554"	""	"bout"	""	""	"2"	"100"
"26555"	""	"bouteille"	""	""	"2"	"100"
"26556"	""	"boutique"	""	""	"2"	"100"
"26557"	""	"bouton"	""	""	"2"	"100"
"26558"	""	"boutonner"	""	""	"2"	"100"
"26559"	""	"boxe"	""	""	"1"	"100"
"26560"	""	"boxeur"	""	""	"1"	"100"
"26561"	""	"bracelet"	""	""	"2"	"100"
"26562"	""	"braguette"	""	""	"2"	"100"
"26563"	""	"branche"	""	""	"2"	"100"
"26564"	""	"brancher"	""	""	"2"	"100"
"26565"	""	"bras"	""	""	"2"	"100"
"26566"	""	"Bravo !"	"Interj"	""	"2"	"100"
"26567"	""	"bref"	""	""	"2"	"100"
"26568"	""	"briller"	""	""	"2"	"100"
"26569"	""	"brique"	""	""	"2"	"100"
"26570"	""	"briser"	""	""	"2"	"100"
"26571"	""	"brochette"	""	""	"2"	"100"
"26572"	""	"brosse"	""	""	"2"	"100"
"26573"	""	"brosser"	""	""	"2"	"100"
"26574"	""	"brouillard"	""	""	"2"	"100"
"26575"	""	"brouiller"	""	""	"2"	"100"
"26576"	""	"brouillon"	""	""	"2"	"100"
"26577"	""	"broyer"	""	""	"2"	"100"
"26578"	""	"bruit"	""	""	"2"	"100"
"26579"	""	"brûlant"	""	""	"2"	"100"
"26580"	""	"brûler"	""	""	"2"	"100"
"26581"	""	"brûlure"	""	""	"2"	"100"
"26582"	""	"brume"	""	""	"2"	"100"
"26583"	""	"brun"	""	""	"2"	"100"
"26584"	""	"brusque"	""	""	"2"	"100"
"26585"	""	"brutal"	""	""	"2"	"100"
"26586"	""	"brute"	""	""	"2"	"100"
"26587"	""	"bruyant"	""	""	"2"	"100"
"26588"	""	"buée"	""	""	"2"	"100"
"26589"	""	"buisson"	""	""	"2"	"100"
"26590"	""	"bulle"	""	""	"2"	"100"
"26591"	""	"bureau"	""	""	"2"	"100"
"26592"	""	"bus"	""	""	"1"	"100"
"26593"	""	"but"	""	""	"2"	"100"
"26594"	""	"ça"	""	""	"3"	"100"
"26595"	""	"cabane"	""	""	"3"	"100"
"26596"	""	"cabinet"	""	""	"2"	"100"
"26597"	""	"câble"	""	""	"3"	"100"
"26598"	""	"cacher"	""	""	"2"	"100"
"26599"	""	"cachette"	""	""	"3"	"100"
"26600"	""	"cactus"	""	""	"3"	"100"
"26601"	""	"cadavre"	""	""	"2"	"100"
"26602"	""	"cadeau"	""	""	"2"	"100"
"26603"	""	"cadenas"	""	""	"2"	"100"
"26604"	""	"cadran"	""	""	"3"	"100"
"26605"	""	"cadre"	""	""	"2"	"100"
"26606"	""	"café"	""	""	"3"	"100"
"26607"	""	"cafétéria"	""	""	"3"	"100"
"26608"	""	"cage"	""	""	"2"	"100"
"26609"	""	"cahier"	""	""	"3"	"100"
"26610"	""	"caillou"	""	""	"2"	"100"
"26611"	""	"caisse"	""	""	"2"	"100"
"26612"	""	"calcul"	""	""	"2"	"100"
"26613"	""	"calendrier"	""	""	"3"	"100"
"26614"	""	"calme"	"Adj"	""	"2"	"100"
"26615"	""	"calmer"	""	""	"3"	"100"
"26616"	""	"camarade"	"N, masc"	""	"2"	"100"
"26617"	""	"cambrioler"	""	""	"2"	"100"
"26618"	""	"caméra"	""	""	"3"	"100"
"26619"	""	"camion"	""	""	"1"	"100"
"26620"	""	"camionnette"	""	""	"2"	"100"
"26621"	""	"camp"	""	""	"3"	"100"
"26622"	""	"campagne"	""	""	"2"	"100"
"26623"	""	"camper"	""	""	"2"	"100"
"26624"	""	"canal"	""	""	"3"	"100"
"26625"	""	"canapé"	""	""	"1"	"100"
"26626"	""	"canard"	""	""	"2"	"100"
"26627"	""	"cancer"	""	"1"	"2"	"100"
"26628"	""	"candidat"	""	""	"3"	"100"
"26629"	""	"caniveau"	""	""	"3"	"100"
"26630"	""	"canne"	""	""	"3"	"100"
"26631"	""	"canon"	""	"1"	"2"	"100"
"26632"	""	"cantine"	""	""	"3"	"100"
"26633"	""	"caoutchouc"	""	""	"3"	"100"
"26634"	""	"capable"	""	""	"2"	"100"
"26635"	""	"capacité"	""	""	"2"	"100"
"26636"	""	"capitaine"	"N, masc"	""	"2"	"100"
"26637"	""	"capitale"	""	""	"3"	"100"
"26638"	""	"capitalisme"	""	""	"2"	"100"
"26639"	""	"caprice"	""	""	"2"	"100"
"26640"	""	"capturer"	""	""	"2"	"100"
"26641"	""	"capuche"	""	""	"2"	"100"
"26642"	""	"car"	"Conj"	""	"3"	"100"
"26643"	""	"car"	"N"	""	"1"	"100"
"26644"	""	"caractère"	""	"1"	"2"	"100"
"26645"	""	"caractériser"	""	""	"3"	"100"
"26646"	""	"caractéristique"	"N"	""	"2"	"100"
"26647"	""	"carafe"	""	""	"2"	"100"
"26648"	""	"caramel"	""	""	"2"	"100"
"26649"	""	"caravane"	""	""	"2"	"100"
"26650"	""	"carburant"	""	""	"2"	"100"
"26651"	""	"caresser"	""	""	"3"	"100"
"26652"	""	"caricature"	""	""	"2"	"100"
"26653"	""	"carie"	""	""	"2"	"100"
"26654"	""	"carnet"	""	""	"2"	"100"
"26655"	""	"carotte"	""	""	"3"	"100"
"26656"	""	"carré"	"N"	""	"2"	"100"
"26657"	""	"carreau"	""	""	"3"	"100"
"26658"	""	"carrefour"	""	""	"3"	"100"
"26659"	""	"carrière"	""	"1"	"3"	"100"
"26660"	""	"carte"	""	""	"2"	"100"
"26661"	""	"carton"	""	""	"2"	"100"
"26662"	""	"cas"	""	""	"3"	"100"
"26663"	""	"case"	""	"1"	"3"	"100"
"26664"	""	"casque"	""	""	"3"	"100"
"26665"	""	"casquette"	""	"1"	"3"	"100"
"26666"	""	"casser"	""	""	"2"	"100"
"26667"	""	"catalogue"	""	""	"2"	"100"
"26668"	""	"catastrophe"	""	""	"2"	"100"
"26669"	""	"catholique"	"Adj"	""	"2"	"100"
"26670"	""	"cauchemar"	""	""	"3"	"100"
"26671"	""	"causer"	""	"1"	"2"	"100"
"26672"	""	"cave"	""	""	"3"	"100"
"26673"	""	"ce"	""	"1"	"3"	"100"
"26674"	""	"ce"	""	"2"	"3"	"100"
"26675"	""	"ceci"	""	""	"3"	"100"
"26676"	""	"céder"	""	""	"2"	"100"
"26677"	""	"ceinture"	""	""	"2"	"100"
"26678"	""	"cela"	""	""	"3"	"100"
"26679"	""	"célèbre"	""	""	"2"	"100"
"26680"	""	"célébrer"	""	""	"2"	"100"
"26681"	""	"célibataire"	"N, masc"	""	"1"	"100"
"26682"	""	"cellule"	""	""	"2"	"100"
"26683"	""	"celui"	""	""	"3"	"100"
"26684"	""	"cent"	""	""	"3"	"100"
"26685"	""	"centaine"	""	""	"2"	"100"
"26686"	""	"centime"	""	""	"3"	"100"
"26687"	""	"centimètre"	""	""	"3"	"100"
"26688"	""	"centre"	""	""	"2"	"100"
"26689"	""	"cependant"	""	""	"3"	"100"
"26690"	""	"cercle"	""	""	"2"	"100"
"26691"	""	"cercueil"	""	""	"3"	"100"
"26692"	""	"cérémonie"	""	""	"3"	"100"
"26693"	""	"cerise"	""	""	"2"	"100"
"26694"	""	"certain"	""	"1"	"2"	"100"
"26696"	""	"certes"	""	""	"3"	"100"
"26697"	""	"cerveau"	""	""	"2"	"100"
"26698"	""	"cesser"	""	""	"2"	"100"
"26699"	""	"chacun"	""	""	"3"	"100"
"26700"	""	"chagrin"	"N"	"1"	"3"	"100"
"26701"	""	"chaîne"	""	""	"2"	"100"
"26702"	""	"chair"	""	""	"2"	"100"
"26703"	""	"chaise"	""	""	"1"	"100"
"26704"	""	"chaleur"	""	""	"2"	"100"
"26705"	""	"chambre"	""	""	"3"	"100"
"26706"	""	"champ"	""	"1"	"3"	"100"
"26707"	""	"champagne"	""	""	"2"	"100"
"26708"	""	"champignon"	""	""	"2"	"100"
"26709"	""	"chance"	""	""	"2"	"100"
"26710"	""	"changer"	""	""	"2"	"100"
